user_id,archetype,secondary_archetype,secondary_archetype_weight,danger_preference,luxury_preference,novelty_preference,historical_preference,technology_preference,nature_preference,fantasy_preference,space_preference,power_preference,budget_log10,budget_tier,price_sensitivity,popularity_preference,exploration_tendency,impulsiveness,activity_level,activity_tier,catalog_version,user_generation_version,generation_seed,created_at
synthetic-user-v1-000001,Power Seeker,,0.0,0.603,0.4527,0.7691,0.5069,0.4853,0.7304,0.6552,0.4905,0.8541,23.7881,ultra_high,0.1166,0.7086,0.5141,0.7379,0.3754,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:00Z
synthetic-user-v1-000002,Tech Futurist,Space Enthusiast,0.2143,0.574,0.6449,0.8621,0.3551,0.6174,0.323,0.4693,0.4603,0.3971,16.3078,high,0.4122,0.6129,0.8255,0.5827,0.5453,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:01Z
synthetic-user-v1-000003,Luxury Collector,,0.0,0.3198,0.94,0.8756,0.5279,0.1303,0.2413,0.719,0.3794,0.6144,17.3533,high,0.3459,0.4876,0.0136,0.4507,0.478,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:02Z
synthetic-user-v1-000004,Thrill Seeker,,0.0,1.0,0.3501,0.7436,0.2368,0.5976,0.468,0.163,0.2617,0.9658,9.7805,low,0.3734,0.2504,0.5898,0.8687,1.0,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:03Z
synthetic-user-v1-000005,Curious Generalist,,0.0,0.66,0.4997,0.1456,0.4764,0.4103,0.3626,0.4218,0.5335,0.3663,18.3489,high,0.3224,0.6154,0.8876,0.673,0.3355,casual,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:04Z
synthetic-user-v1-000006,Tech Futurist,,0.0,0.4046,0.8911,1.0,0.2583,0.7952,0.4102,0.5698,0.403,0.6172,19.6208,high,0.3978,0.6316,0.7443,0.3257,0.6007,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:05Z
synthetic-user-v1-000007,Curious Generalist,,0.0,0.3723,0.5229,0.8475,0.1338,0.528,0.7324,0.2411,0.7213,0.2114,14.1807,medium,0.4348,0.5964,0.4895,0.6981,0.6451,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:06Z
synthetic-user-v1-000008,Power Seeker,,0.0,0.5935,0.5924,0.7719,0.0,0.2432,0.3294,0.5559,0.2971,0.8447,14.9415,medium,0.1391,0.7239,0.5347,1.0,0.5778,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:07Z
synthetic-user-v1-000009,Space Enthusiast,,0.0,0.5285,0.8351,0.9745,0.4516,0.5789,0.2192,0.1718,1.0,0.7735,12.8837,medium,0.4215,0.3396,0.6165,0.7282,0.5206,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:08Z
synthetic-user-v1-000010,Tech Futurist,,0.0,0.2421,0.4055,0.7213,0.3217,0.7081,0.2478,0.3234,0.0556,0.7204,10.5659,low,0.2715,0.3257,0.8538,0.213,0.8548,heavy,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:09Z
synthetic-user-v1-000011,Eclectic Browser,,0.0,0.4764,0.7328,0.7192,0.1559,0.6187,0.5835,0.3552,0.2855,0.8351,14.9196,medium,0.4949,0.2362,0.5478,0.2913,0.585,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:10Z
synthetic-user-v1-000012,Power Seeker,,0.0,0.7553,0.8935,0.7213,0.4383,0.6994,0.5401,0.706,0.1802,0.7658,19.0863,high,0.4819,0.4984,0.4529,1.0,0.714,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:11Z
synthetic-user-v1-000013,History Collector,Luxury Collector,0.3276,0.1307,0.8019,0.6838,0.6821,0.3387,0.6694,0.7576,0.4585,0.7074,16.3039,high,0.5913,0.2829,0.4209,0.7019,0.7078,regular,synthetic_product_v1,synthetic_user_v1,42,2026-01-01T00:00:12Z
