model_type,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
bce,purchase,validation,5,173,0.06551059730250482,0.035153196330553166,0.08670520231213873,0.017341040462427744
bce,purchase,validation,10,173,0.16666666666666666,0.0692279135889659,0.19653179190751446,0.02023121387283237
bce,purchase,validation,20,173,0.2697495183044316,0.09663042111094883,0.3179190751445087,0.017052023121387285
bce,viewplus,validation,5,591,0.036734131369177636,0.06779662278680859,0.2876480541455161,0.06463620981387479
bce,viewplus,validation,10,591,0.07421786401236195,0.07726199570563051,0.4703891708967851,0.06548223350253808
bce,viewplus,validation,20,591,0.14910126758204967,0.10775431695904888,0.6785109983079526,0.0652284263959391
bce,favoriteplus,validation,5,467,0.042029502736140846,0.03322054347227155,0.11134903640256959,0.023554603854389723
bce,favoriteplus,validation,10,467,0.09214166751639985,0.05349172483533066,0.20342612419700215,0.024197002141327625
bce,favoriteplus,validation,20,467,0.17212535263927128,0.07964304070667187,0.3426124197002141,0.022376873661670238
bce,purchase,test,5,212,0.04874213836477988,0.030290881666866065,0.06132075471698113,0.012264150943396227
bce,purchase,test,10,212,0.11037735849056603,0.05343236218080562,0.16037735849056603,0.016981132075471698
bce,purchase,test,20,212,0.2003930817610063,0.07738475217845955,0.2688679245283019,0.01438679245283019
bce,viewplus,test,5,611,0.04264858712688927,0.07857983440758992,0.3044189852700491,0.07463175122749591
bce,viewplus,test,10,611,0.08494611739474514,0.08814629341117533,0.486088379705401,0.07217675941080197
bce,viewplus,test,20,611,0.1572336840773544,0.11469068773342976,0.6873977086743044,0.06710310965630115
bce,favoriteplus,test,5,485,0.038372606774668624,0.03146995722984758,0.09278350515463918,0.018969072164948454
bce,favoriteplus,test,10,485,0.09514318442153494,0.05374756703508159,0.21443298969072164,0.02329896907216495
bce,favoriteplus,test,20,485,0.19327851415480282,0.08509809268165389,0.3958762886597938,0.02412371134020619
