model_type,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
bpr,purchase,validation,5,173,0.09730250481695568,0.0648880330538358,0.12138728323699421,0.024277456647398846
bpr,purchase,validation,10,173,0.16473988439306358,0.08895668686062923,0.20809248554913296,0.02138728323699422
bpr,purchase,validation,20,173,0.2504816955684008,0.11200451534981609,0.3179190751445087,0.016763005780346823
bpr,viewplus,validation,5,591,0.03232537282115449,0.05437793851902597,0.23688663282571912,0.05245346869712352
bpr,viewplus,validation,10,591,0.06174475035731282,0.06300063642483772,0.4213197969543147,0.05414551607445008
bpr,viewplus,validation,20,591,0.1257675077741864,0.08868494882886392,0.637901861252115,0.05363790186125212
bpr,favoriteplus,validation,5,467,0.048699908228816154,0.04062389323234556,0.11777301927194861,0.02483940042826553
bpr,favoriteplus,validation,10,467,0.08431987355970226,0.05500125670736421,0.2012847965738758,0.021413276231263382
bpr,favoriteplus,validation,20,467,0.17040719214166752,0.08159458916085889,0.3468950749464668,0.020021413276231262
bpr,purchase,test,5,212,0.05581761006289308,0.03910141184954278,0.08490566037735849,0.019811320754716984
bpr,purchase,test,10,212,0.09040880503144655,0.05121224195303609,0.12264150943396226,0.014622641509433962
bpr,purchase,test,20,212,0.19292452830188678,0.07909692566936737,0.24528301886792453,0.014150943396226415
bpr,viewplus,test,5,611,0.034883830306835055,0.06076635911513196,0.23567921440261866,0.058592471358428815
bpr,viewplus,test,10,611,0.07028004418146942,0.07116644001144402,0.41407528641571195,0.05990180032733224
bpr,viewplus,test,20,611,0.1294643629146895,0.09298713451140597,0.6219312602291326,0.05499181669394436
bpr,favoriteplus,test,5,485,0.041385207003763705,0.03438733216299776,0.09896907216494845,0.02103092783505155
bpr,favoriteplus,test,10,485,0.07747013582065128,0.04816999593688102,0.177319587628866,0.01958762886597938
bpr,favoriteplus,test,20,485,0.15289314351170022,0.07296415265470124,0.3443298969072165,0.020206185567010312
