model,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
no_bias,5,212,0.059748427672955975,0.04313019667679222,0.08962264150943396,0.017924528301886795
item_bias,5,212,0.08309748427672956,0.05304169135146134,0.12264150943396226,0.026415094339622643
user_item_bias,5,212,0.0805817610062893,0.05001841008248522,0.10849056603773585,0.022641509433962266
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
no_bias,10,212,0.12240566037735849,0.06550665533807151,0.16981132075471697,0.018396226415094342
item_bias,10,212,0.13970125786163523,0.07314645751462176,0.19339622641509435,0.021698113207547172
user_item_bias,10,212,0.125,0.0661360351531562,0.17452830188679244,0.018867924528301886
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
no_bias,20,212,0.21179245283018866,0.09026803117213791,0.2971698113207547,0.016037735849056607
item_bias,20,212,0.22224842767295597,0.09535619019623184,0.29245283018867924,0.016745283018867924
user_item_bias,20,212,0.2031446540880503,0.08825604043788522,0.2830188679245283,0.015330188679245283
