model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
item_bias,purchase,validation,5,173,0.1233140655105973,0.08027598167266263,0.14450867052023122,0.028901734104046242
item_bias,purchase,validation,10,173,0.19460500963391136,0.10293446203104387,0.2254335260115607,0.022543352601156072
item_bias,purchase,validation,20,173,0.27167630057803466,0.12328475338767649,0.31213872832369943,0.015895953757225433
item_bias,viewplus,validation,5,591,0.040709411187581195,0.07309038488150388,0.2808798646362098,0.06835871404399324
item_bias,viewplus,validation,10,591,0.07440371510322524,0.0792691610244577,0.44839255499153974,0.0649746192893401
item_bias,viewplus,validation,20,591,0.136824449982489,0.102841713075199,0.6582064297800339,0.05879864636209814
item_bias,favoriteplus,validation,5,467,0.05059141429591108,0.042278792766676766,0.12633832976445397,0.026980728051391865
item_bias,favoriteplus,validation,10,467,0.10100778355596342,0.06233172370918291,0.22055674518201285,0.02612419700214133
item_bias,favoriteplus,validation,20,467,0.16609394650079873,0.08335185393913681,0.3297644539614561,0.02119914346895075
item_bias,purchase,test,5,212,0.08309748427672956,0.05304169135146134,0.12264150943396226,0.026415094339622643
item_bias,purchase,test,10,212,0.13970125786163523,0.07314645751462176,0.19339622641509435,0.021698113207547172
item_bias,purchase,test,20,212,0.22224842767295597,0.09535619019623184,0.29245283018867924,0.016745283018867924
item_bias,viewplus,test,5,611,0.042237544167776815,0.07788896218530908,0.2945990180032733,0.07495908346972177
item_bias,viewplus,test,10,611,0.08050858445309386,0.08442312991371272,0.4713584288052373,0.06808510638297872
item_bias,viewplus,test,20,611,0.14321480632203365,0.10696498350330984,0.6595744680851063,0.061947626841243865
item_bias,favoriteplus,test,5,485,0.056709212894779905,0.04523186647771709,0.13402061855670103,0.027628865979381443
item_bias,favoriteplus,test,10,485,0.0934699721813124,0.05992383877594145,0.21237113402061855,0.02329896907216495
item_bias,favoriteplus,test,20,485,0.1620446735395189,0.08206332470432677,0.3422680412371134,0.020721649484536083
