model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
user_item_bias,purchase,validation,5,173,0.0741811175337187,0.05520198905000232,0.09826589595375723,0.020809248554913295
user_item_bias,purchase,validation,10,173,0.174373795761079,0.08905956906615599,0.21965317919075145,0.022543352601156072
user_item_bias,purchase,validation,20,173,0.26878612716763006,0.11395221326854195,0.3236994219653179,0.017052023121387285
user_item_bias,viewplus,validation,5,591,0.04169845308768998,0.07063034222321238,0.2707275803722504,0.06666666666666667
user_item_bias,viewplus,validation,10,591,0.07479074210611877,0.07802455539136305,0.45854483925549916,0.06463620981387479
user_item_bias,viewplus,validation,20,591,0.13575291087565303,0.10133523425932782,0.6480541455160744,0.05871404399323182
user_item_bias,favoriteplus,validation,5,467,0.04712960130519017,0.04184985310798199,0.11349036402569593,0.024411134903640257
user_item_bias,favoriteplus,validation,10,467,0.09900921110771217,0.06294913866464,0.21627408993576017,0.02505353319057816
user_item_bias,favoriteplus,validation,20,467,0.16869413004316644,0.08553085810780575,0.34475374732334046,0.021306209850107068
user_item_bias,purchase,test,5,212,0.0805817610062893,0.05001841008248522,0.10849056603773585,0.022641509433962266
user_item_bias,purchase,test,10,212,0.125,0.0661360351531562,0.17452830188679244,0.018867924528301886
user_item_bias,purchase,test,20,212,0.2031446540880503,0.08825604043788522,0.2830188679245283,0.015330188679245283
user_item_bias,viewplus,test,5,611,0.046124972872081726,0.07904738974645321,0.29296235679214405,0.07299509001636661
user_item_bias,viewplus,test,10,611,0.08074666475450651,0.08546425551090586,0.45171849427168576,0.0662847790507365
user_item_bias,viewplus,test,20,611,0.148830303572785,0.11001156810805687,0.6710310965630114,0.06112929623567922
user_item_bias,favoriteplus,test,5,485,0.05922025855015546,0.04160268505771862,0.12577319587628866,0.027216494845360827
user_item_bias,favoriteplus,test,10,485,0.09211503845524464,0.05570839188973425,0.21443298969072164,0.02412371134020619
user_item_bias,favoriteplus,test,20,485,0.17719113074783177,0.08315788521647291,0.37938144329896906,0.02288659793814433
