model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
cart_centered_weighted,purchase,validation,5,173,0.07610789980732177,0.0463843490411725,0.09826589595375723,0.019653179190751446
cart_centered_weighted,purchase,validation,10,173,0.1608863198458574,0.07426508371017204,0.19653179190751446,0.02023121387283237
cart_centered_weighted,purchase,validation,20,173,0.2957610789980732,0.11031258779836085,0.3583815028901734,0.018497109826589597
cart_centered_weighted,viewplus,validation,5,591,0.04040131759010356,0.07354744047302829,0.2893401015228426,0.06971235194585448
cart_centered_weighted,viewplus,validation,10,591,0.07697965465215942,0.08087645567252377,0.4856175972927242,0.06683587140439932
cart_centered_weighted,viewplus,validation,20,591,0.14892944749965817,0.1095543672046581,0.6903553299492385,0.06489001692047378
cart_centered_weighted,favoriteplus,validation,5,467,0.03975986540226369,0.033526201123803015,0.10706638115631692,0.024411134903640257
cart_centered_weighted,favoriteplus,validation,10,467,0.0852537303286768,0.052368932072335714,0.2012847965738758,0.024197002141327625
cart_centered_weighted,favoriteplus,validation,20,467,0.1832908466741443,0.08324687226820794,0.3683083511777302,0.023340471092077087
cart_centered_weighted,purchase,test,5,212,0.06674528301886792,0.04392824783775141,0.09433962264150944,0.019811320754716984
cart_centered_weighted,purchase,test,10,212,0.12177672955974843,0.06409978952073762,0.17452830188679244,0.018867924528301886
cart_centered_weighted,purchase,test,20,212,0.22279874213836479,0.09170253721747405,0.3018867924528302,0.016745283018867924
cart_centered_weighted,viewplus,test,5,611,0.046721762767654905,0.08331746729703125,0.3355155482815057,0.08216039279869068
cart_centered_weighted,viewplus,test,10,611,0.08975832024825868,0.09229778730094257,0.5122749590834698,0.07610474631751228
cart_centered_weighted,viewplus,test,20,611,0.1642675696219105,0.11877837067846976,0.6841243862520459,0.06963993453355156
cart_centered_weighted,favoriteplus,test,5,485,0.04941826215022091,0.03938107915920631,0.12577319587628866,0.025154639175257735
cart_centered_weighted,favoriteplus,test,10,485,0.09752413680248732,0.05886889186212507,0.2288659793814433,0.024742268041237112
cart_centered_weighted,favoriteplus,test,20,485,0.1800106365570283,0.08644383604326535,0.3938144329896907,0.02381443298969072
