model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
cartplus,purchase,validation,5,173,0.06840077071290944,0.04116896728004718,0.08092485549132948,0.0161849710982659
cartplus,purchase,validation,10,173,0.12138728323699421,0.05942982832610411,0.14450867052023122,0.015028901734104047
cartplus,purchase,validation,20,173,0.1907514450867052,0.0773932184868412,0.2254335260115607,0.011560693641618497
cartplus,viewplus,validation,5,591,0.03185053716759171,0.05668038317621064,0.2436548223350254,0.05516074450084603
cartplus,viewplus,validation,10,591,0.0652766496035692,0.0655530527986021,0.4179357021996616,0.05380710659898477
cartplus,viewplus,validation,20,591,0.12112924868914264,0.08775741768054098,0.6429780033840947,0.0505922165820643
cartplus,favoriteplus,validation,5,467,0.038276231263383295,0.02623191056067017,0.08993576017130621,0.01841541755888651
cartplus,favoriteplus,validation,10,467,0.06605995717344754,0.03839421550226492,0.15631691648822268,0.017130620985010708
cartplus,favoriteplus,validation,20,467,0.1275092620917032,0.05768574338346436,0.2762312633832976,0.01563169164882227
cartplus,purchase,test,5,212,0.06855345911949685,0.048462071065780044,0.11320754716981132,0.022641509433962266
cartplus,purchase,test,10,212,0.09292452830188679,0.05676642360922257,0.14622641509433962,0.014622641509433962
cartplus,purchase,test,20,212,0.17916666666666667,0.08043955306598162,0.25,0.013207547169811321
cartplus,viewplus,test,5,611,0.03161012755491166,0.05747902810095972,0.22749590834697217,0.05499181669394436
cartplus,viewplus,test,10,611,0.06060746824794402,0.0634712086639659,0.39279869067103107,0.051391162029459904
cartplus,viewplus,test,20,611,0.112404525834278,0.08257118955902278,0.5711947626841244,0.04828150572831424
cartplus,favoriteplus,test,5,485,0.037988872524954996,0.032261337830557776,0.11134020618556702,0.022268041237113404
cartplus,favoriteplus,test,10,485,0.06676566846669939,0.04322088850140293,0.17938144329896907,0.018969072164948454
cartplus,favoriteplus,test,20,485,0.13013172966781214,0.06370881495290025,0.2948453608247423,0.017422680412371137
