model,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
existing_weighted,5,212,0.08309748427672956,0.05304169135146134,0.12264150943396226,0.026415094339622643
cartplus,5,212,0.06855345911949685,0.048462071065780044,0.11320754716981132,0.022641509433962266
favorite_cartplus,5,212,0.05007861635220126,0.038595455676737535,0.08490566037735849,0.016981132075471698
cart_centered_weighted,5,212,0.06674528301886792,0.04392824783775141,0.09433962264150944,0.019811320754716984
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
existing_weighted,10,212,0.13970125786163523,0.07314645751462176,0.19339622641509435,0.021698113207547172
cartplus,10,212,0.09292452830188679,0.05676642360922257,0.14622641509433962,0.014622641509433962
favorite_cartplus,10,212,0.09921383647798741,0.0557548427749078,0.15566037735849056,0.016037735849056607
cart_centered_weighted,10,212,0.12177672955974843,0.06409978952073762,0.17452830188679244,0.018867924528301886
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
existing_weighted,20,212,0.22224842767295597,0.09535619019623184,0.29245283018867924,0.016745283018867924
cartplus,20,212,0.17916666666666667,0.08043955306598162,0.25,0.013207547169811321
favorite_cartplus,20,212,0.20275157232704402,0.08338787447173407,0.28773584905660377,0.01509433962264151
cart_centered_weighted,20,212,0.22279874213836479,0.09170253721747405,0.3018867924528302,0.016745283018867924
