model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
favorite_cartplus,purchase,validation,5,173,0.07803468208092486,0.045766748875215854,0.08670520231213873,0.018497109826589597
favorite_cartplus,purchase,validation,10,173,0.1348747591522158,0.0638647400408787,0.15606936416184972,0.0161849710982659
favorite_cartplus,purchase,validation,20,173,0.20616570327552985,0.08250606930806793,0.24277456647398843,0.012427745664739883
favorite_cartplus,viewplus,validation,5,591,0.03224935132450278,0.05483608639578489,0.2470389170896785,0.0544839255499154
favorite_cartplus,viewplus,validation,10,591,0.057128838422747186,0.06012040968501073,0.3925549915397631,0.05042301184433164
favorite_cartplus,viewplus,validation,20,591,0.10805516550657455,0.08029012007697199,0.5888324873096447,0.047800338409475465
favorite_cartplus,favoriteplus,validation,5,467,0.031049250535331904,0.02181673988414663,0.0728051391862955,0.014989293361884369
favorite_cartplus,favoriteplus,validation,10,467,0.05675113014513442,0.03229220818879919,0.13704496788008566,0.014561027837259103
favorite_cartplus,favoriteplus,validation,20,467,0.1143885320009517,0.05092165343649366,0.25267665952890794,0.014132762312633834
favorite_cartplus,purchase,test,5,212,0.05007861635220126,0.038595455676737535,0.08490566037735849,0.016981132075471698
favorite_cartplus,purchase,test,10,212,0.09921383647798741,0.0557548427749078,0.15566037735849056,0.016037735849056607
favorite_cartplus,purchase,test,20,212,0.20275157232704402,0.08338787447173407,0.28773584905660377,0.01509433962264151
favorite_cartplus,viewplus,test,5,611,0.029896373196405094,0.055147348480046036,0.2193126022913257,0.051391162029459904
favorite_cartplus,viewplus,test,10,611,0.05578100225262814,0.05967676263699786,0.3617021276595745,0.047626841243862524
favorite_cartplus,viewplus,test,20,611,0.10481264422731934,0.0776881456246177,0.5564648117839607,0.045008183306055646
favorite_cartplus,favoriteplus,test,5,485,0.034217803960072006,0.02743050282880583,0.09072164948453608,0.01814432989690722
favorite_cartplus,favoriteplus,test,10,485,0.07176648666339387,0.04230383252167263,0.1711340206185567,0.018350515463917527
favorite_cartplus,favoriteplus,test,20,485,0.1315136638847979,0.0622537940316754,0.30927835051546393,0.017422680412371137
