model,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
dim8,5,212,0.09072327044025158,0.06194750054020856,0.12735849056603774,0.026415094339622643
dim16,5,212,0.08309748427672956,0.05304169135146134,0.12264150943396226,0.026415094339622643
dim32,5,212,0.07248427672955975,0.04606322857438657,0.11320754716981132,0.022641509433962266
dim64,5,212,0.08624213836477987,0.06208853282157943,0.11320754716981132,0.024528301886792454
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
dim8,10,212,0.15125786163522015,0.08314870453843481,0.21226415094339623,0.021698113207547172
dim16,10,212,0.13970125786163523,0.07314645751462176,0.19339622641509435,0.021698113207547172
dim32,10,212,0.14520440251572325,0.06976087844339027,0.19339622641509435,0.020283018867924527
dim64,10,212,0.13970125786163523,0.08142532509273402,0.18396226415094338,0.020283018867924527
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
dim8,20,212,0.22672955974842768,0.10387958535092305,0.29245283018867924,0.016273584905660377
dim16,20,212,0.22224842767295597,0.09535619019623184,0.29245283018867924,0.016745283018867924
dim32,20,212,0.24268867924528303,0.09662044177882073,0.3160377358490566,0.017216981132075475
dim64,20,212,0.22099056603773587,0.10444250529287002,0.2830188679245283,0.016981132075471698
