model,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
dim64,purchase,validation,5,173,0.11271676300578035,0.07642860535323259,0.15028901734104047,0.031213872832369944
dim64,purchase,validation,10,173,0.22254335260115607,0.11214354970100739,0.2658959537572254,0.02716763005780347
dim64,purchase,validation,20,173,0.3400770712909441,0.14332526279319588,0.41040462427745666,0.02109826589595376
dim64,viewplus,validation,5,591,0.03493478025200842,0.06245683946002195,0.25888324873096447,0.061252115059221665
dim64,viewplus,validation,10,591,0.06849376362940277,0.0705331693005279,0.4365482233502538,0.0598984771573604
dim64,viewplus,validation,20,591,0.1344127714543543,0.09665830617450026,0.6531302876480541,0.05795262267343486
dim64,favoriteplus,validation,5,467,0.06241970021413276,0.0502729989443806,0.145610278372591,0.030406852248394005
dim64,favoriteplus,validation,10,467,0.10669419802182115,0.06801686129879876,0.23768736616702354,0.026552462526766595
dim64,favoriteplus,validation,20,467,0.19787226810781414,0.09688191940169778,0.40471092077087795,0.024197002141327625
dim64,purchase,test,5,212,0.08624213836477987,0.06208853282157943,0.11320754716981132,0.024528301886792454
dim64,purchase,test,10,212,0.13970125786163523,0.08142532509273402,0.18396226415094338,0.020283018867924527
dim64,purchase,test,20,212,0.22099056603773587,0.10444250529287002,0.2830188679245283,0.016981132075471698
dim64,viewplus,test,5,611,0.04104547326585418,0.076796221478047,0.3011456628477905,0.07430441898527004
dim64,viewplus,test,10,611,0.0788850683453133,0.0828376485335131,0.46317512274959083,0.06661211129296236
dim64,viewplus,test,20,611,0.14094084672333243,0.1054297945023582,0.6497545008183306,0.06145662847790508
dim64,favoriteplus,test,5,485,0.04076092292587138,0.03347018768359349,0.09896907216494845,0.020618556701030927
dim64,favoriteplus,test,10,485,0.081453117329406,0.04960859187647602,0.1979381443298969,0.021237113402061858
dim64,favoriteplus,test,20,485,0.17163393879888725,0.07886071744665948,0.3711340206185567,0.022577319587628868
