strategy,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
random_unknown,5,212,0.07562893081761007,0.04440045869330532,0.10849056603773585,0.022641509433962266
exposed_non_conversion,5,212,0.059748427672955975,0.04313019667679222,0.08962264150943396,0.017924528301886795
mixed,5,212,0.059748427672955975,0.035475055878831416,0.08490566037735849,0.016981132075471698
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
random_unknown,10,212,0.11061320754716981,0.0576871557320647,0.16037735849056603,0.017452830188679245
exposed_non_conversion,10,212,0.12240566037735849,0.06550665533807151,0.16981132075471697,0.018396226415094342
mixed,10,212,0.11965408805031447,0.05680852157915278,0.16981132075471697,0.017924528301886795
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
random_unknown,20,212,0.1998427672955975,0.08139931238993758,0.25943396226415094,0.014622641509433962
exposed_non_conversion,20,212,0.21179245283018866,0.09026803117213791,0.2971698113207547,0.016037735849056607
mixed,20,212,0.22515723270440252,0.0864288403481039,0.3018867924528302,0.016745283018867924
