strategy,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
mixed,purchase,validation,5,173,0.08285163776493257,0.048861141796519104,0.09826589595375723,0.019653179190751446
mixed,purchase,validation,10,173,0.1531791907514451,0.07217893266685386,0.1907514450867052,0.01907514450867052
mixed,purchase,validation,20,173,0.29094412331406555,0.10842082878292301,0.3468208092485549,0.01763005780346821
mixed,viewplus,validation,5,591,0.038335479925908834,0.06698732934462903,0.27411167512690354,0.062267343485617604
mixed,viewplus,validation,10,591,0.06973344893228765,0.07411796500718448,0.45346869712351945,0.061252115059221665
mixed,viewplus,validation,20,591,0.14563047051957373,0.1050393855513866,0.6954314720812182,0.06387478849407784
mixed,favoriteplus,validation,5,467,0.04679055776486183,0.03460909991065843,0.10706638115631692,0.02226980728051392
mixed,favoriteplus,validation,10,467,0.08965534822065871,0.05232218787196845,0.19914346895074947,0.022698072805139188
mixed,favoriteplus,validation,20,467,0.18382872777947723,0.08295293373676843,0.35974304068522484,0.02323340471092077
mixed,purchase,test,5,212,0.059748427672955975,0.035475055878831416,0.08490566037735849,0.016981132075471698
mixed,purchase,test,10,212,0.11965408805031447,0.05680852157915278,0.16981132075471697,0.017924528301886795
mixed,purchase,test,20,212,0.22515723270440252,0.0864288403481039,0.3018867924528302,0.016745283018867924
mixed,viewplus,test,5,611,0.041797821862494804,0.07638857671024235,0.3027823240589198,0.07299509001636661
mixed,viewplus,test,10,611,0.08228669764231529,0.08591325858074386,0.48936170212765956,0.07152209492635025
mixed,viewplus,test,20,611,0.16203556052245088,0.11542729156328206,0.6939443535188216,0.06841243862520459
mixed,favoriteplus,test,5,485,0.04703567337587956,0.03655005941347135,0.1154639175257732,0.023505154639175258
mixed,favoriteplus,test,10,485,0.08840042546228112,0.053052419634546585,0.21030927835051547,0.023092783505154642
mixed,favoriteplus,test,20,485,0.1922680412371134,0.08602826318884407,0.4061855670103093,0.02391752577319588
