model,k,eligible_users,recall,ndcg,hit_rate,precision
cart_popularity,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
binary_view,5,212,0.04874213836477988,0.030290881666866065,0.06132075471698113,0.012264150943396227
log_view,5,212,0.06776729559748428,0.040516790205692536,0.09905660377358491,0.020754716981132078
favoriteplus,5,212,0.07114779874213836,0.04924812286636976,0.10377358490566038,0.020754716981132078
weighted,5,212,0.07562893081761007,0.04440045869330532,0.10849056603773585,0.022641509433962266
purchase_only,5,212,0.0705188679245283,0.04357149876851578,0.10377358490566038,0.020754716981132078
cart_popularity,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
binary_view,10,212,0.11037735849056603,0.05343236218080562,0.16037735849056603,0.016981132075471698
log_view,10,212,0.1074685534591195,0.05477717328305746,0.1509433962264151,0.016037735849056607
favoriteplus,10,212,0.09905660377358491,0.05965360081080607,0.14622641509433962,0.01509433962264151
weighted,10,212,0.11061320754716981,0.0576871557320647,0.16037735849056603,0.017452830188679245
purchase_only,10,212,0.11784591194968554,0.0603763201204785,0.1792452830188679,0.018396226415094342
cart_popularity,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
binary_view,20,212,0.2003930817610063,0.07738475217845955,0.2688679245283019,0.01438679245283019
log_view,20,212,0.19512578616352202,0.0784589375529051,0.2641509433962264,0.014150943396226415
favoriteplus,20,212,0.16800314465408805,0.07909625869895705,0.23113207547169812,0.012735849056603774
weighted,20,212,0.1998427672955975,0.08139931238993758,0.25943396226415094,0.014622641509433962
purchase_only,20,212,0.18404088050314465,0.07960023728459513,0.2688679245283019,0.01438679245283019
