representation,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
favoriteplus,purchase,validation,5,173,0.07321772639691715,0.050850618760525566,0.08670520231213873,0.017341040462427744
favoriteplus,purchase,validation,10,173,0.18208092485549132,0.08673922929925669,0.21965317919075145,0.021965317919075147
favoriteplus,purchase,validation,20,173,0.2697495183044316,0.10969191346884974,0.3063583815028902,0.01647398843930636
favoriteplus,viewplus,validation,5,591,0.03358828236156371,0.058942773833656335,0.2470389170896785,0.05719120135363791
favoriteplus,viewplus,validation,10,591,0.06443411975341637,0.06632178684917303,0.43316412859560066,0.05583756345177665
favoriteplus,viewplus,validation,20,591,0.1227570187525672,0.08956821173420436,0.6311336717428088,0.05406091370558376
favoriteplus,favoriteplus,validation,5,467,0.04268634648720302,0.03450798271430854,0.10278372591006424,0.021413276231263382
favoriteplus,favoriteplus,validation,10,467,0.09520240644437647,0.05470112574684535,0.21413276231263384,0.022912205567451823
favoriteplus,favoriteplus,validation,20,467,0.16431290574759527,0.07643818299315734,0.3426124197002141,0.019593147751605998
favoriteplus,purchase,test,5,212,0.07114779874213836,0.04924812286636976,0.10377358490566038,0.020754716981132078
favoriteplus,purchase,test,10,212,0.09905660377358491,0.05965360081080607,0.14622641509433962,0.01509433962264151
favoriteplus,purchase,test,20,212,0.16800314465408805,0.07909625869895705,0.23113207547169812,0.012735849056603774
favoriteplus,viewplus,test,5,611,0.044307040953355775,0.0755901367400846,0.27986906710310966,0.07070376432078561
favoriteplus,viewplus,test,10,611,0.07704220041394394,0.08071230196898053,0.45662847790507366,0.0635024549918167
favoriteplus,viewplus,test,20,611,0.13282046877144107,0.10092095586905782,0.6432078559738135,0.05654664484451719
favoriteplus,favoriteplus,test,5,485,0.04248813614792996,0.0358531464235089,0.11958762886597939,0.02556701030927835
favoriteplus,favoriteplus,test,10,485,0.07254459171984945,0.048622201314187374,0.19381443298969073,0.022268041237113404
favoriteplus,favoriteplus,test,20,485,0.1449009981999673,0.07225588653908385,0.31752577319587627,0.020721649484536083
