representation,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
log_view,purchase,validation,5,173,0.07707129094412332,0.042905151204296825,0.09248554913294797,0.018497109826589597
log_view,purchase,validation,10,173,0.16377649325626203,0.07245358956530192,0.2023121387283237,0.02023121387283237
log_view,purchase,validation,20,173,0.27552986512524086,0.10249067074812548,0.32947976878612717,0.017341040462427744
log_view,viewplus,validation,5,591,0.03822274375792894,0.06911455776589828,0.2927241962774958,0.06700507614213198
log_view,viewplus,validation,10,591,0.0701430348172827,0.0752249565446638,0.4619289340101523,0.06328257191201353
log_view,viewplus,validation,20,591,0.14728803333298038,0.10506136250918056,0.6802030456852792,0.06302876480541456
log_view,favoriteplus,validation,5,467,0.044789436117059246,0.03396772085513904,0.11134903640256959,0.024411134903640257
log_view,favoriteplus,validation,10,467,0.0864136161245369,0.05098106798059078,0.20770877944325483,0.022912205567451823
log_view,favoriteplus,validation,20,467,0.1723904693926107,0.07818383736462958,0.33832976445396146,0.021841541755888653
log_view,purchase,test,5,212,0.06776729559748428,0.040516790205692536,0.09905660377358491,0.020754716981132078
log_view,purchase,test,10,212,0.1074685534591195,0.05477717328305746,0.1509433962264151,0.016037735849056607
log_view,purchase,test,20,212,0.19512578616352202,0.0784589375529051,0.2641509433962264,0.014150943396226415
log_view,viewplus,test,5,611,0.04035425126879373,0.07828793881420755,0.29296235679214405,0.07463175122749591
log_view,viewplus,test,10,611,0.08313232142673693,0.08673820072143812,0.4779050736497545,0.07037643207855974
log_view,viewplus,test,20,611,0.15582442875853209,0.11426538915414317,0.6841243862520459,0.06685761047463175
log_view,favoriteplus,test,5,485,0.04297087219767632,0.037513261176704095,0.1134020618556701,0.023092783505154642
log_view,favoriteplus,test,10,485,0.08378661430207823,0.05298707597111292,0.19175257731958764,0.02103092783505155
log_view,favoriteplus,test,20,485,0.19081901489117983,0.08704160213180295,0.38556701030927837,0.02329896907216495
