representation,task,split,k,eligible_users,recall,ndcg,hit_rate,precision
purchase_only,purchase,validation,5,173,0.053949903660886325,0.029499391193935475,0.06358381502890173,0.012716763005780347
purchase_only,purchase,validation,10,173,0.10789980732177265,0.0481693639349479,0.1329479768786127,0.013294797687861274
purchase_only,purchase,validation,20,173,0.15703275529865127,0.06084149233362409,0.1907514450867052,0.00953757225433526
purchase_only,viewplus,validation,5,591,0.036257591219014805,0.06127472279476427,0.26057529610829105,0.0595600676818951
purchase_only,viewplus,validation,10,591,0.06799927822292047,0.0687918256423369,0.43316412859560066,0.05685279187817259
purchase_only,viewplus,validation,20,591,0.11950830701629414,0.0891322804860852,0.6209813874788495,0.05194585448392555
purchase_only,favoriteplus,validation,5,467,0.03761598857958601,0.027393710093569425,0.08565310492505353,0.017987152034261242
purchase_only,favoriteplus,validation,10,467,0.06865589204989633,0.039882313369005204,0.15631691648822268,0.016488222698072805
purchase_only,favoriteplus,validation,20,467,0.13285323408449748,0.060348131934336094,0.2676659528907923,0.015738758029978588
purchase_only,purchase,test,5,212,0.0705188679245283,0.04357149876851578,0.10377358490566038,0.020754716981132078
purchase_only,purchase,test,10,212,0.11784591194968554,0.0603763201204785,0.1792452830188679,0.018396226415094342
purchase_only,purchase,test,20,212,0.18404088050314465,0.07960023728459513,0.2688679245283019,0.01438679245283019
purchase_only,viewplus,test,5,611,0.04172831240872143,0.07257273978476636,0.2896890343698854,0.07037643207855974
purchase_only,viewplus,test,10,611,0.0753766926256804,0.07748876131478552,0.44189852700491,0.06104746317512276
purchase_only,viewplus,test,20,611,0.13213836644753665,0.09815003706753977,0.6235679214402619,0.05499181669394436
purchase_only,favoriteplus,test,5,485,0.057253313696612664,0.043964345703014704,0.1402061855670103,0.02927835051546392
purchase_only,favoriteplus,test,10,485,0.09963753886434298,0.06034598692336745,0.22268041237113403,0.024536082474226804
purchase_only,favoriteplus,test,20,485,0.15809851088201604,0.07982726803495674,0.3402061855670103,0.020618556701030927
