popularity_signal,evaluation_task,split,exclude_seen,k,eligible_users,recall,ndcg,hit_rate,precision
total_view_count,viewplus,validation,True,5,591,0.037598877232632937,0.07130287718703641,0.2910321489001692,0.0673434856175973
total_view_count,viewplus,validation,True,10,591,0.07541882822112148,0.07980471823942473,0.4754653130287648,0.0661590524534687
total_view_count,viewplus,validation,True,20,591,0.1541734799939816,0.1117335360776994,0.6920473773265652,0.06785109983079526
unique_view_users,viewplus,validation,True,5,591,0.038116071618381965,0.07291160769259854,0.2961082910321489,0.06869712351945854
unique_view_users,viewplus,validation,True,10,591,0.0783488770033552,0.08249079285904423,0.48223350253807107,0.06835871404399323
unique_view_users,viewplus,validation,True,20,591,0.15341801606306188,0.11233433624078143,0.7072758037225042,0.06725888324873096
log_view_strength,viewplus,validation,True,5,591,0.03769422275945055,0.07251022393996447,0.29441624365482233,0.0676818950930626
log_view_strength,viewplus,validation,True,10,591,0.07539162472833125,0.08090196440992281,0.4703891708967851,0.0661590524534687
log_view_strength,viewplus,validation,True,20,591,0.15334003537881108,0.11240109734428268,0.6971235194585449,0.06725888324873096
favoriteplus_unique_pairs,viewplus,validation,True,5,591,0.03740363814269892,0.06871718139001064,0.2927241962774958,0.06531302876480542
favoriteplus_unique_pairs,viewplus,validation,True,10,591,0.07504298306556391,0.07798895186116983,0.4754653130287648,0.06548223350253808
favoriteplus_unique_pairs,viewplus,validation,True,20,591,0.15021271485077112,0.10869585402926372,0.688663282571912,0.06598984771573604
cart_count,viewplus,validation,True,5,591,0.038390115191230936,0.06714474773535578,0.27580372250423013,0.06598984771573604
cart_count,viewplus,validation,True,10,591,0.07722882783692349,0.07841295154136194,0.48223350253807107,0.06751269035532995
cart_count,viewplus,validation,True,20,591,0.13669207962149227,0.10090065459254288,0.6548223350253807,0.06023688663282572
purchase_count,viewplus,validation,True,5,591,0.04215053036828507,0.07284661143397511,0.3079526226734349,0.07072758037225044
purchase_count,viewplus,validation,True,10,591,0.07522560039804602,0.07796719862071634,0.4653130287648054,0.0649746192893401
purchase_count,viewplus,validation,True,20,591,0.13943214597863393,0.10333399852546701,0.6598984771573604,0.06133671742808799
weighted_popularity_v1,viewplus,validation,True,5,591,0.032752546997315723,0.06584591937032097,0.2656514382402707,0.061252115059221665
weighted_popularity_v1,viewplus,validation,True,10,591,0.07886515027937421,0.07986642214392588,0.48392554991539766,0.06785109983079526
weighted_popularity_v1,viewplus,validation,True,20,591,0.14940427445718038,0.10822896731227316,0.6988155668358714,0.06548223350253808
total_view_count,favoriteplus,validation,True,5,467,0.043201284796573876,0.033871214916934234,0.11349036402569593,0.02569593147751606
total_view_count,favoriteplus,validation,True,10,467,0.08455270045205807,0.05048382262975839,0.1948608137044968,0.023126338329764455
total_view_count,favoriteplus,validation,True,20,467,0.17683372421059787,0.08024219286682868,0.3426124197002141,0.022805139186295505
unique_view_users,favoriteplus,validation,True,5,467,0.04625862479181537,0.03568674097576348,0.11563169164882227,0.02612419700214133
unique_view_users,favoriteplus,validation,True,10,467,0.08633714013799666,0.05125449739598361,0.1948608137044968,0.022912205567451823
unique_view_users,favoriteplus,validation,True,20,467,0.1789189694435947,0.08108789629568129,0.3511777301927195,0.022805139186295505
log_view_strength,favoriteplus,validation,True,5,467,0.043201284796573876,0.03448049263244164,0.11349036402569593,0.02569593147751606
log_view_strength,favoriteplus,validation,True,10,467,0.08348203664049489,0.05060759937690696,0.1948608137044968,0.022912205567451823
log_view_strength,favoriteplus,validation,True,20,467,0.1749039801502328,0.08014203999498318,0.33832976445396146,0.022483940042826552
favoriteplus_unique_pairs,favoriteplus,validation,True,5,467,0.04511063526052819,0.03498373243329769,0.11563169164882227,0.024411134903640257
favoriteplus_unique_pairs,favoriteplus,validation,True,10,467,0.08948965024982156,0.05306004851541683,0.21199143468950749,0.023126338329764455
favoriteplus_unique_pairs,favoriteplus,validation,True,20,467,0.18544661976139493,0.08337956862472935,0.36616702355460384,0.023019271948608137
cart_count,favoriteplus,validation,True,5,467,0.054371877230549606,0.03993032277877786,0.12633832976445397,0.028265524625267668
cart_count,favoriteplus,validation,True,10,467,0.0898286937901499,0.05460325963398307,0.20770877944325483,0.023126338329764455
cart_count,favoriteplus,validation,True,20,467,0.1745292478161857,0.0815595335300418,0.3490364025695932,0.021306209850107068
purchase_count,favoriteplus,validation,True,5,467,0.053696339349444275,0.041283406936323604,0.12633832976445397,0.027837259100642397
purchase_count,favoriteplus,validation,True,10,467,0.1027684307127562,0.06026219532378756,0.22055674518201285,0.025481798715203428
purchase_count,favoriteplus,validation,True,20,467,0.18014173549505455,0.08520655125094291,0.3533190578158458,0.022483940042826552
weighted_popularity_v1,favoriteplus,validation,True,5,467,0.04571734475374733,0.035921239232460524,0.11134903640256959,0.02483940042826553
weighted_popularity_v1,favoriteplus,validation,True,10,467,0.10314316304680331,0.058516789143751274,0.22698072805139186,0.02612419700214133
weighted_popularity_v1,favoriteplus,validation,True,20,467,0.18607457258420854,0.08511321763129417,0.37687366167023556,0.023447537473233408
total_view_count,purchase,validation,True,5,173,0.05009633911368015,0.03506745993915526,0.06936416184971098,0.013872832369942198
total_view_count,purchase,validation,True,10,173,0.13680154142581888,0.06369441217798166,0.1676300578034682,0.016763005780346823
total_view_count,purchase,validation,True,20,173,0.2967244701348748,0.10728255303509436,0.35260115606936415,0.018208092485549134
unique_view_users,purchase,validation,True,5,173,0.0674373795761079,0.041868977793980466,0.09248554913294797,0.018497109826589597
