popularity_signal,evaluation_task,split,exclude_seen,k,eligible_users,recall,ndcg,hit_rate,precision
total_view_count,purchase,validation,True,5,173,0.05009633911368015,0.03506745993915526,0.06936416184971098,0.013872832369942198
total_view_count,purchase,validation,True,10,173,0.13680154142581888,0.06369441217798166,0.1676300578034682,0.016763005780346823
total_view_count,purchase,validation,True,20,173,0.2967244701348748,0.10728255303509436,0.35260115606936415,0.018208092485549134
unique_view_users,purchase,validation,True,5,173,0.0674373795761079,0.041868977793980466,0.09248554913294797,0.018497109826589597
unique_view_users,purchase,validation,True,10,173,0.13102119460500963,0.0618303343035257,0.16184971098265896,0.0161849710982659
unique_view_users,purchase,validation,True,20,173,0.30346820809248554,0.1087370350754687,0.36416184971098264,0.01907514450867052
log_view_strength,purchase,validation,True,5,173,0.05009633911368015,0.03393524357284514,0.06936416184971098,0.013872832369942198
log_view_strength,purchase,validation,True,10,173,0.13102119460500963,0.06096046369044729,0.16184971098265896,0.0161849710982659
log_view_strength,purchase,validation,True,20,173,0.3082851637764933,0.10909646341239078,0.3699421965317919,0.01907514450867052
favoriteplus_unique_pairs,purchase,validation,True,5,173,0.05876685934489402,0.036592800154524784,0.06936416184971098,0.013872832369942198
favoriteplus_unique_pairs,purchase,validation,True,10,173,0.13198458574181116,0.061196904980097035,0.15028901734104047,0.015606936416184972
favoriteplus_unique_pairs,purchase,validation,True,20,173,0.2832369942196532,0.10204097995114117,0.3468208092485549,0.017919075144508672
cart_count,purchase,validation,True,5,173,0.08766859344894026,0.05435819464535638,0.10404624277456648,0.020809248554913295
cart_count,purchase,validation,True,10,173,0.15125240847784202,0.07646442533904069,0.18497109826589594,0.01907514450867052
cart_count,purchase,validation,True,20,173,0.2524084778420038,0.10324203215151312,0.30057803468208094,0.015317919075144511
purchase_count,purchase,validation,True,5,173,0.09344894026974952,0.056081365037302044,0.12138728323699421,0.024277456647398846
purchase_count,purchase,validation,True,10,173,0.14739884393063585,0.07378765592096555,0.18497109826589594,0.018497109826589597
purchase_count,purchase,validation,True,20,173,0.2610789980732177,0.10301574615041069,0.3063583815028902,0.015606936416184972
weighted_popularity_v1,purchase,validation,True,5,173,0.07610789980732177,0.04637317643173683,0.09826589595375723,0.019653179190751446
weighted_popularity_v1,purchase,validation,True,10,173,0.17052023121387283,0.07678250078535487,0.20809248554913296,0.020809248554913295
weighted_popularity_v1,purchase,validation,True,20,173,0.2861271676300578,0.10741379770432369,0.3468208092485549,0.017919075144508672
total_view_count,purchase,test,True,5,212,0.06501572327044025,0.04234188966427159,0.09433962264150944,0.018867924528301886
total_view_count,purchase,test,True,10,212,0.11981132075471697,0.062045171770493124,0.1792452830188679,0.018396226415094342
total_view_count,purchase,test,True,20,212,0.22767295597484277,0.09217679041136627,0.30660377358490565,0.017216981132075475
unique_view_users,purchase,test,True,5,212,0.06737421383647799,0.04597114761836645,0.09433962264150944,0.019811320754716984
unique_view_users,purchase,test,True,10,212,0.12059748427672956,0.06485191125522269,0.1792452830188679,0.018867924528301886
unique_view_users,purchase,test,True,20,212,0.24182389937106918,0.09801122876676581,0.32075471698113206,0.018160377358490565
log_view_strength,purchase,test,True,5,212,0.06501572327044025,0.04465543349146572,0.09433962264150944,0.018867924528301886
log_view_strength,purchase,test,True,10,212,0.12059748427672956,0.06473890904171539,0.1792452830188679,0.018867924528301886
log_view_strength,purchase,test,True,20,212,0.2371069182389937,0.09665408385206617,0.3160377358490566,0.01768867924528302
favoriteplus_unique_pairs,purchase,test,True,5,212,0.07272012578616352,0.04886547063630801,0.09905660377358491,0.019811320754716984
favoriteplus_unique_pairs,purchase,test,True,10,212,0.11949685534591195,0.06607509881890102,0.16981132075471697,0.017452830188679245
favoriteplus_unique_pairs,purchase,test,True,20,212,0.22083333333333335,0.09409981298643794,0.3018867924528302,0.016037735849056607
cart_count,purchase,test,True,5,212,0.08113207547169811,0.052753269433986234,0.12264150943396226,0.024528301886792454
cart_count,purchase,test,True,10,212,0.1449685534591195,0.07611886994272557,0.2169811320754717,0.022641509433962266
cart_count,purchase,test,True,20,212,0.2339622641509434,0.10001500019713512,0.32547169811320753,0.017452830188679245
purchase_count,purchase,test,True,5,212,0.0710691823899371,0.04610957830095244,0.11320754716981132,0.02358490566037736
purchase_count,purchase,test,True,10,212,0.14040880503144654,0.06918696380973076,0.18867924528301888,0.019811320754716984
purchase_count,purchase,test,True,20,212,0.25322327044025156,0.10080430028634509,0.32547169811320753,0.018632075471698113
weighted_popularity_v1,purchase,test,True,5,212,0.07342767295597484,0.04829641055498762,0.1179245283018868,0.02358490566037736
weighted_popularity_v1,purchase,test,True,10,212,0.13671383647798743,0.07009491011320625,0.19811320754716982,0.020754716981132078
weighted_popularity_v1,purchase,test,True,20,212,0.2369496855345912,0.09740219978252293,0.3160377358490566,0.01768867924528302
